"ASUS N580VD-DS76T 15.6"" 4K/UHD Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: N580VD-DS76T,"$1,149.00"
"ASUS VivoBook Pro 17 N705UD-EH76 17.3"" Thin and Portable FHD Laptop, 8th Gen Intel Core i7-8550U 1.8 GHz Processor, NVIDIA GeForce GTX 1050 Graphics, 16 GB DDR4 RAM, 256 GB SSD + 1 TB HDD, 802.11ac",Model #: N705UD-EH76,"$1,099.00 (2 Offers)"
"MSI GP72MX Leopard Pro-1213 Gaming Laptop GTX 1050 Ti 4 GB  i7-7700HQ 17.3"" Windows 10 Home 64-Bit",Model #: GP72MX Leopard Pro-1213,"$1,199.00"
"ASUS ROG Strix Scar Edition 17.3"" Gaming Laptop, 8th-Gen 6-Core Intel Core i7-8750H Processor (Up to 3.9 GHz), GeForce GTX 1050 Ti 4 GB, 120 Hz 3 ms Display, 16 GB DDR4, 128 GB PCIe SSD + 1 TB SSHD",Model #: GL703GE-ES73,"$1,249.00 (3 Offers)"
"MSI GT75VR TITAN PRO-202 17.3"" 120 Hz GTX 1080 i7-7820HK 16 GB Memory 1 TB HDD Windows 10 Home VR Ready Gaming Laptop",Model #: GT75VR TITAN PRO-202,"$2,249.00 (2 Offers)"
"ASUS GL503VM-SKT1 15.6"" 120 Hz Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB PCIe SSD 1 TB SSHD Windows 10 Home 64-Bit Gaming Laptop -- ONLY @ NEWEGG",Model #: GL503VM-SKT1,"$1,449.00"
"Lenovo Y520 (80YY0090US) Gaming Laptop  i7-7700HQ GTX 1060 15.6"" Windows 10 Home 64-Bit",Model #: Y520 (80YY0090US),$989.99
"ROG G703 Unlocked Intel Core i7-8750H Processor, Overclocked GeForce GTX 1080 8 GB, 17.3"" 144 Hz 3 ms G-SYNC Display, 512 GB PCIe SSD + 1 TB SSHD, 32 GB DDR4, RGB Keyboard",Model #: G703GI-XS74,"$3,499.00 (2 Offers)"
"ASUS VivoBook Pro 15, 15.6” Full HD IPS level Display, Intel Core i7-8750H, Nvidia GTX 1050 4GB, 8GB DDR4 + 16GB Intel Optane Memory, 1TB HDD Optane enhanced, Fingerprint, N580GD-DB74",Model #: N580GD-DB74,$999.00 (2 Offers)
"Lenovo 81FK0001US Gaming Laptop Intel Core i7-8750H GTX 1050 15.6"" Windows 10 Home 64-Bit",Model #: 81FK0001US,"$1,086.66"
"DELL i7577-7425BLK Gaming Laptop i7-7700HQ GTX 106015.6"" 4K/UHD Windows 10",Model #: i7577-7425BLK,"$1,339.99"
"ASUS GL702ZC-WB74 17.3"" AMD Ryzen 7 1700 (3.00 GHz) AMD Radeon RX 580 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GL702ZC-WB74,"$1,499.00 (2 Offers)"
"MSI GT75 TITAN-056 17.3"" FHD WVA 120Hz Intel i7-8850H NVIDIA GTX 1080 16GB Memory 1TB HDD Windows 10 RGB Keyboard",Model #: GT75 TITAN-056,"$2,799.00 (5 Offers)"
"Lenovo Y720 80VR001BUS 15.6"" FHD GTX 1060 i7-7700HQ 16 GB Memory 128 GB SSD + 1 TB HDD Windows 10 Home VR Ready Gaming Laptop",Model #: Y720 (80VR001BUS),"$1,249.79 (2 Offers)"
"MSI GL73 8RC-032 Gaming Laptop GTX 1050 4 GB i7-8750H 17.3"" Windows 10 Home 64-Bit",Model #: GL73 8RC-032,"$1,149.00"
"MSI GL73 8RD-031 Gaming Laptop  GTX 1050 Ti 4 GB i7-8750H 17.3"" Windows 10 Home 64-Bit",Model #: GL73 8RD-031,"$1,249.00"
"Alienware AW15R4-7712SLV-PUS Gaming Laptop i7-8750H GTX 1060 15.6"" Windows 10 Home 64-Bit",Model #: AW15R4-7712SLV-PUS,"$1,699.99"
"Alienware 15 R4 AW15R4-7736SLV i7-8750H GTX 1060 15.6"" Windows 10 Home 64-Bit",Model #: AW15R4-7736SLV,"$1,574.06"
"MSI GF62VR 7RF 4K-1029 15.6"" LCD Notebook  GTX 1060  i7-7700HQ 16 GB DDR4 SDRAM - 1 TB HDD - 256 GB SSD - Windows 10 - 3840 x 2160 - In-plane Switching",Model #: GF62VR4K1029,"$1,599.99"
"MSI GT83 TITAN-027 Gaming Laptop GTX 1080 SLI 16 GB i7-8850H 18.4"" Windows 10 Home 64-Bit",Model #: GT83 TITAN-027,"$5,699.00 (3 Offers)"
"MSI GT63 TITAN-047 Gaming Laptop GTX 1070 8 GB i7-8750H 15.6"" Windows 10 Pro 64-Bit",Model #: GT63 TITAN-047,"$2,199.00"
"ASUS G703GI-XS71 17.3"" 144 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1080 16 GB Memory 256 GB SSD 2 TB SSHD Windows 10 Pro 64-Bit Gaming Laptop",Model #: G703GI-XS71,"$2,799.99"
"Acer Predator Triton 700 PT715-51-732Q 15.6"" IPS 120 Hz GTX 1080 8 GB i7-7700HQ Max-Q Design 32 GB Memory 512 GB PCIE SSD (2 x 256 GB in Raid 0) 1920 x 1080",Model #: PT715-51-732Q,"$2,802.37"
"MSI GT75 TITAN-057 VR Ready 17.3"" LCD Gaming Notebook GTX 1070  i7-8850H - 16 GB DDR4 SDRAM - 1 TB HDD - Windows 10 (Multi Language) - 1920 x 1080",Model #: GT75057,"$2,399.00"
"Dell Inspiron 15 7577 15.6""  i5-7300HQ GTX 1060 VR Ready 8 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",Model #: i7577-5265BLK,$993.15
"MSI PE62 8RD-037 Gaming Laptop GTX 1050 Ti 4 GB i7-8750H 15.6"" Windows 10 Pro 64-Bit",Model #: PE62 8RD-037,"$1,359.00"
"MSI GS Series GS73VR STEALTH PRO-225 17.3"" 120 Hz 7-7700HQ GTX 1060 VR Ready 16 GB Memory 256 GB SSD 2 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GS73VR STEALTH PRO-225,"$1,599.00"
