model,price,title
"SP11132NC53M, ","$,329.99","Acer - Spin 1 2-in-1 11.6"" Touch-Screen Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Gray"
"A51551G5067, ","$,683.13","Acer - 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce MX150 - 1TB Hard Drive + 256GB Solid State Drive - Obsidian Black"
"A31531C06Z, ","$,332.99","Acer - Aspire 3 15.6"" Laptop - Intel Celeron - 4GB Memory - 1TB Hard Drive - Oxidant Red"
"R5571TG51A3, ","$,749.99","Acer - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 940MX - 1TB HDD + 128GB SSD - Steel Gray"
"NX.G55AA.010, ","$,345.99","Acer - R 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Black"
"CB5312TK0YQ, ","$,439.99","Acer - R 13 2-in-1 13.3"" Touch-Screen Chromebook - MT8173 - 4GB Memory - 64GB eMMC Flash Memory - Sparkly Silver"
"SF3145252SY, ","$,649.99","Acer - Swift 3 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Sakura Pink"
"NX.GK4AA.017, ","$,500.99","Acer - Spin 5 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Obsidian Black"
"S53713164, ","$,562.99","Acer - Aspire S 13 13.3"" Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Black"
"A3155152S5, ","$,534.99","Acer - Aspire 3 15.6"" Laptop - Intel Core i5 - 6GB Memory - 1TB Hard Drive - Blue Stone"
"TMX349M5375, ","$,819.99","Acer - 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Steel gray"
"LATI7480CT1FM, ","$,1,311.99","Dell - Latitude 14"" Laptop - Intel Core i5 - 4GB Memory - 128GB Solid State Drive - Black"
"CP547135T4, ","$,490.99","Acer - 14 for Work 14"" Chromebook - Intel Core i3 - 4GB Memory - 32GB eMMC Flash Memory - Black, Silver"
"V1H21UT, ","$,1,429.99","HP - EliteBook 15.6"" Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Silver"
"LATI7480J350V, ","$,1,399.99","Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"
"CB3431C7VZ, ","$,329.00","Acer - Chromebook 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver"
"20HH000TUS, ","$,1,699.99","Lenovo - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M1200M - 512GB Solid State Drive - Black"
"LATI5590VM2J4, ","$,1,179.99","Dell - Latitude 15.6"" Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive"
"A3155130AT, ","$,429.99","Acer - Aspire 3 15.6"" Laptop - Intel Core i3 - 4GB Memory - 1TB Hard Drive - Oxidant Red"
"TMP259M3383, ","$,535.99","Acer - TravelMate 15.6"" Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Black"
"TMP459M782M, ","$,942.99","Acer - TravelMate 15.6"" Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black"
