"","title","model","price"
"79","MSI - WE63 8SI 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro P1000 - 256GB Solid State Drive - Aluminum Black","WE63 8SI-239 ","$,1,549.99"
"80","CyberPowerPC - Tracer III 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 500GB Solid State Drive - Black","TVR15800 ","$,1,379.99"
"81","MSI - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 128GB Solid State Drive - Aluminum Black","GE63 RAIDER RGB-012 ","$,1,599.99"
"82","CyberPowerPC - Tracer III 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Solid State Drive - Black","TSVR2400 ","$,1,559.99"
"83","MSI - GE73VR Raider 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 2 x 512GB Solid State Drive - Aluminum Black","GE73VR067 ","$,1,879.99"
"84","MSI - 15.6"" Laptop - Intel Core i7 - 32GB Memory - NVIDIA Quadro P3200 - 2TB Hard Drive + 512GB Solid State Drive - Aluminum Black","WS63 8SK-017 ","$,2,799.99"
"85","HP - Stream 14"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Textured Linear Grooves Infinity Purple","NAE-HP-S14-CB180NR ","$,299.99"
"86","HP - OMEN X 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB Hard Drive + 256GB Solid State Drive - Shadow black, aluminum cover finish","17-AP010NR ","$,1,911.99"
"87","MSI - 17.3"" 4K Ultra HD Laptop - Intel Core i9 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB HDD + 1TB Solid State Drive - Aluminum Black","GT75 TITAN 4K-071 ","$,4,235.99"
"88","Acer - Predator Helios 300 15.6"" Laptop - Intel Core i7 - 16GB Memory-NVIDIA GeForce GTX 1060-1TB HD+256GB Solid State Drive - Black","G357272YF ","$,1,399.99"
"89","MSI - GS Series STEALTH PRO 15.6"" Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1060 - 512GB SSD + 1TB HDD - Aluminum black","GS63VR-STEALTH PRO-229 ","$,1,799.99"
"90","CyberPowerPC - Tracer III 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 Ti - 500GB Solid State Drive - Black","TS1200 ","$,1,199.99"
"91","ASUS - ROG Strix Hero Edition 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050Ti - 1TB+8GB SSHD + 128GB SSD - Black","GL503GEES52 ","$,1,088.99"
"92","MSI - GT Series Titan 18.4"" Laptop - Intel Core i7 - 32GB Memory - Dual NVIDIA GeForce GTX 1080 - 1TB HDD + 1.024TB SSD - Aluminum Black","GT83 TITAN-027 ","$,5,699.99"
"93","MSI - WE73 8SJ 17.3"" Laptop - Intel Core i7 - 32GB Memory - NVIDIA Quadro P2000 - 512GB Solid State Drive - Aluminum Black","WE73 8SJ-076 ","$,2,099.99"
"94","MSI - 15.6"" Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1070 - 512GB Solid State Drive - Matte Black With Gold Diamond Cut","GS65 STEALTH THIN-053 ","$,2,499.99"
"95","MSI - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB Hard Drive + 256GB Solid State Drive - Aluminum Black","GT63 TITAN-047 ","$,2,199.99"
"96","Dell - Inspiron 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 - 512GB Solid State Drive - Black","I55777342BLK ","$,1,149.99"
"97","Lenovo - 15.6"" 4K Ultra HD Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 960M - 1TB HDD + 512GB Solid State Drive - Black","80NV00W6US ","$,1,699.99"
"98","MSI - WE73 8SK 17.3"" Laptop - Intel Xeon - 32GB Memory - NVIDIA Quadro P3200 - 512GB Solid State Drive - Aluminum Black","WE73 8SK-293 ","$,2,749.99"
"99","Acer - Predator 17 17.3"" 4K Ultra HD Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 512GB SSD + 1TB HDD - Black","GX79277BL ","$,2,999.99"
"100","MSI - WE73 8SK 17.3"" Laptop - Intel Core i7 - 32GB Memory - NVIDIA Quadro P3200 - 512GB Solid State Drive - Aluminum Black","WE73 8SK-258 ","$,2,449.99"
"101","MSI - 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB Hard Drive - Aluminum Black","GT75 TITAN -057 ","$,2,399.99"
"102","MSI - WE63 8SJ 15.6"" Laptop - Intel Core i7 - 32GB Memory - NVIDIA Quadro P2000 - 512GB Solid State Drive - Aluminum Black","WE63 8SJ-235 ","$,2,049.99"
"103","Acer - 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 256GB Solid State Drive - Black","AN5155156U0 ","$,799.99"
"104","MSI - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 128GB Solid State Drive - Aluminum black","GT62VR DOMINATOR-027 ","$,1,599.99"
"105","Samsung - Notebook Odyssey 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive + 128GB SSD - Black Knight","NP800G5M-X01US ","$,1,199.99"
"106","ASUS - ROG 17.3"" Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB Hybrid Drive + 512GB SSD - Silver","G703GIXS74 ","$,3,499.99"
"107","ASUS - ROG Strix Scar Edition 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB SSHD + 256GB SSD - Black, Gunmetal","GL703GSDS74 ","$,1,899.99"
"108","HP - Stream 14"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Textured Linear Grooves In Aqua Blue","NAE-HP-S14-CB170NR ","$,299.99"
"109","Acer - Predator Triton 700 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 512GB Solid State Drive - Teal Blue","PT71551761M ","$,1,999.99"
"110","MSI - GS40 Phantom 14"" Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 128GB Solid State Drive - Aluminum Black","GS40 PHANTOM-001 ","$,1,599.99"
"111","MSI - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 512GB Solid State Drive - Matte Black With Gold Diamond Cut","GS65 STEALTH THIN-050 ","$,2,099.99"
"112","Alienware - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 512GB Solid State Drive + 1TB Hard Drive - Epic Silver","AW15R37390SLV ","$,2,554.99"
"113","MSI - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 256GB Solid State Drive - Matte Black With Gold Diamond Cut","GS65 STEALTH THIN-051 ","$,1,899.99"
"114","ASUS - 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive + 128GB Solid State Drive - Black IMR","FX503VDEH73 ","$,999.99"
"115","Acer - Predator 15 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 256GB SSD + 1TB HDD - Black","G959371EH ","$,1,791.99"
"116","Alienware - R3 17.3"" Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver","AW17R37092SLV ","$,1,899.99"
"117","ASUS - ROG 17.3"" Laptop - Intel Core i9 - 32GB Memory - NVIDIA GeForce GTX 1080 - 2TB Hybrid Hard Drive + 512 SSD - Silver","G703GIXS98K ","$,3,699.99"
"118","CyberPowerPC - Tracer III 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1060 - 240GB Solid State Drive - Black","TSVR2000 ","$,1,199.99"
"119","CyberPowerPC - Tracer III 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1060 - 240GB Solid State Drive - Black","TVR15700 ","$,1,229.99"
"120","CyberPowerPC - Tracer III 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 240GB Solid State Drive - Black","T15400 ","$,1,069.99"
"121","CyberPowerPC - Tracer III 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 240GB Solid State Drive - Black","TS1000 ","$,1,149.99"
"122","MSI - 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 - 256GB Solid State Drive - Aluminum silver","PL62017 ","$,999.99"
"123","HP - Stream 14"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Textured Linear Grooves In Smoke Gray","NAE-HP-S14-CB190NR ","$,299.99"
"124","MSI - Raider 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 - 1.024TB Solid State Drive - Aluminum Black","GE63008 ","$,1,599.99"
"125","Acer - 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 256GB Solid State Drive - Shale Black","PH3175277A4 ","$,1,399.99"
