,title,model,price
28,"MSI GP72MX Leopard Pro-1213 Gaming Laptop GTX 1050 Ti 4 GB  i7-7700HQ 17.3"" Windows 10 Home 64-Bit",GP72MX Leopard Pro-1213,"$1,199.00 "
29,"ASUS ROG Strix Scar Edition 17.3"" Gaming Laptop, 8th-Gen 6-Core Intel Core i7-8750H Processor (Up to 3.9 GHz), GeForce GTX 1050 Ti 4 GB, 120 Hz 3 ms Display, 16 GB DDR4, 128 GB PCIe SSD + 1 TB SSHD",GL703GE-ES73,"$1,249.00 "
30,"MSI GT75VR TITAN PRO-202 17.3"" 120 Hz GTX 1080 i7-7820HK 16 GB Memory 1 TB HDD Windows 10 Home VR Ready Gaming Laptop",GT75VR TITAN PRO-202,"$2,249.00 "
31,"ASUS GL503VM-SKT1 15.6"" 120 Hz Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB PCIe SSD 1 TB SSHD Windows 10 Home 64-Bit Gaming Laptop -- ONLY @ NEWEGG",GL503VM-SKT1,"$1,449.00 "
32,"Lenovo Y520 (80YY0090US) Gaming Laptop  i7-7700HQ GTX 1060 15.6"" Windows 10 Home 64-Bit",Y520 (80YY0090US),$989.99 
33,"ROG G703 Unlocked Intel Core i7-8750H Processor, Overclocked GeForce GTX 1080 8 GB, 17.3"" 144 Hz 3 ms G-SYNC Display, 512 GB PCIe SSD + 1 TB SSHD, 32 GB DDR4, RGB Keyboard",G703GI-XS74,"$3,499.00 "
34,"ASUS VivoBook Pro 15, 15.6â€?Full HD IPS level Display, Intel Core i7-8750H, Nvidia GTX 1050 4GB, 8GB DDR4 + 16GB Intel Optane Memory, 1TB HDD Optane enhanced, Fingerprint, N580GD-DB74",N580GD-DB74,$999.00 
35,"Lenovo 81FK0001US Gaming Laptop Intel Core i7-8750H GTX 1050 15.6"" Windows 10 Home 64-Bit",81FK0001US,"$1,086.66 "
36,"DELL i7577-7425BLK Gaming Laptop i7-7700HQ GTX 106015.6"" 4K/UHD Windows 10",i7577-7425BLK,"$1,339.99 "
37,"ASUS GL702ZC-WB74 17.3"" AMD Ryzen 7 1700 (3.00 GHz) AMD Radeon RX 580 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GL702ZC-WB74,"$1,499.00 "
